2024-04-06 18:36:21.487 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@744949, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@28d13da1, org.springframework.security.web.context.SecurityContextHolderFilter@1ffed301, org.springframework.security.web.header.HeaderWriterFilter@680da770, org.springframework.security.web.authentication.logout.LogoutFilter@2f0c968a, com.phoenixhell.authbackend.filter.JwtTokenFilter@53a4a7a7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@93536bd, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7ead98c6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4fa04a6b, org.springframework.security.web.session.SessionManagementFilter@66146980, org.springframework.security.web.access.ExceptionTranslationFilter@702480ef, org.springframework.security.web.access.intercept.AuthorizationFilter@1d3b7c70]
2024-04-06 18:36:21.621 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-04-06 18:36:21.675 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-06 18:36:21.685 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2024-04-06 18:36:21.692 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - Started AuthBackendApplication in 1.755 seconds (process running for 2.199)
2024-04-06 18:36:27.181 [http-nio-8080-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-06 18:36:27.181 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-06 18:36:27.182 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-04-06 19:01:06.620 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-06 19:01:06.639 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - Starting AuthBackendApplication using Java 19.0.1 with PID 17128 (D:\code\auth-backend\target\classes started by phoen in D:\code\auth-backend)
2024-04-06 19:01:06.640 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - The following 1 profile is active: "dev"
2024-04-06 19:01:06.669 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-06 19:01:06.670 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-06 19:01:07.111 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-04-06 19:01:07.113 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-04-06 19:01:07.140 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 14 ms. Found 0 Redis repository interfaces.
2024-04-06 19:01:07.464 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-06 19:01:07.471 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2024-04-06 19:01:07.472 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-04-06 19:01:07.472 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2024-04-06 19:01:07.505 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2024-04-06 19:01:07.505 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 835 ms
2024-04-06 19:01:07.985 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@342f379, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4efc0268, org.springframework.security.web.context.SecurityContextHolderFilter@520c8a63, org.springframework.security.web.header.HeaderWriterFilter@38afc61d, org.springframework.security.web.authentication.logout.LogoutFilter@c04025, com.phoenixhell.authbackend.filter.JwtTokenFilter@20423fe7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@60d5137a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@662789cb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@50aeb620, org.springframework.security.web.session.SessionManagementFilter@93536bd, org.springframework.security.web.access.ExceptionTranslationFilter@4e6c1a33, org.springframework.security.web.access.intercept.AuthorizationFilter@7933c4b4]
2024-04-06 19:01:08.141 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-04-06 19:01:08.197 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-06 19:01:08.210 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2024-04-06 19:01:08.217 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - Started AuthBackendApplication in 1.915 seconds (process running for 2.378)
2024-04-06 19:01:10.305 [http-nio-8080-exec-2] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-06 19:01:10.306 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-06 19:01:10.307 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2024-04-06 19:01:39.773 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-06 19:01:39.792 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - Starting AuthBackendApplication using Java 19.0.1 with PID 15016 (D:\code\auth-backend\target\classes started by phoen in D:\code\auth-backend)
2024-04-06 19:01:39.793 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - The following 1 profile is active: "dev"
